VARIABLES = "X"
 "Y"
 "Z"
 "Density"
 "Shear Strain Rate"
 "Mach Number"
 "Pressure"
 "Total Pressure"
 "Temperature"
 "Total Temperature"
 "Bulk Energy Flow Rate"
 "X Bulk Momentum Flow Rate"
 "Y Bulk Momentum Flow Rate"
 "Z Bulk Momentum Flow Rate"
 "X Wall Shear"
 "Y Wall Shear"
 "Z Wall Shear"
 "Turbulence Eddy Dissipation"
 "U"
 "V"
 "W"
 "Dynamic Viscosity"
 "Eddy Viscosity"
 "X Vorticity"
 "Y Vorticity"
 "Z Vorticity"
 "Y Plus"
 "Solver Y Plus"
 "Node UserID"
 "Element UserID"
 "Material ID"
 "Part ID"
 "Property ID"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                  0.095                 -0.0005      0.0021105527638191        1.14546771020527        2980.54077986207       0.231440602156483       -3711.59472992431       -1.54281436034811        296.818169441429        300.000042940802                       0                       0                       0                       0                       0                       0                       0        504.779574875683        79.8892922991583                       0        -3.0481006700818   1.83100000867853E-005    0.000168740750192258                       0     -0.0861611470237339                       0                       0                       0        10962.4999609808        543.708887610078                       1                       1                       1 
                  0.095                 -0.0005     0.00221608040201005        1.14547045736987         2981.8904966297       0.231430230252404       -3711.26920130594       -1.54351942848548        296.818448855997        300.000038983647                       0                       0                       0                       0                       0                       0                       0          504.8094330115         79.879551230472                       0       -3.20118231382648   1.83100000867853E-005    0.000168758155406828                       0     -0.0847214865661171                       0                       0                       0        10962.4999609808        544.193985078298                       1                       1                       1 
                  0.095                 -0.0005     0.00232160804020101        1.14547316191438        2983.24941312838       0.231420045956767       -3710.94946632846       -1.54347204221832        296.818723261943        300.000035019031                       0                       0                       0                       0                       0                       0                       0        504.840479090851        79.8698643029583                       0       -3.35466569131725   1.83100000867853E-005    0.000168775736766904                       0     -0.0847726292957201                       0                       0                       0        10962.4999513389        544.676213195038                       1                       1                       1 
                  0.095                 -0.0005     0.00242713567839196        1.14547598056322        2984.58369971022       0.231409359387744       -3710.61422036642       -1.54543916048487        296.819011077188        300.000031074388                       0                       0                       0                       0                       0                       0                       0        504.868344756677        79.8600324263707                       0       -3.50707352994911   1.83100000867853E-005    0.000168792846542655                       0     -0.0808325322996742                       0                       0                       0        10962.4999513389        545.166123262949                       1                       1                       1 
                  0.095                 -0.0005     0.00253266331658291        1.14547923226511        2985.79496866886       0.231396973871112       -3710.22814957673       -1.54223901947751        296.819344962831        300.000032211316                       0                       0                       0                       0                       0                       0                       0        504.830838253173         79.848653283508                       0        -3.6593491317392   1.83100000867853E-005    0.000168807086110157                       0     -0.0660964982265975                       0                       0                       0        10962.4999513389         545.65626378099                       1                       1                       1 
                  0.095                 -0.0005     0.00263819095477387         1.1454824309072        2987.00720622051        0.23138471370434       -3709.84600323205       -1.54026164938628        296.819676054612        300.000032828565                       0                       0                       0                       0                       0                       0                       0        504.785006479462        79.8371362414267                       0       -3.81235135863931   1.83100000867853E-005    0.000168821244031277                       0     -0.0467745517716953                       0                       0                       0        10962.4999513389        546.141206075095                       1                       1                       1 
                  0.095                 -0.0005     0.00274371859296482        1.14548560938726        2988.22287992447       0.231372519135635         -3709.465847455       -1.53862241248865        296.820005465954        300.000033225348                       0                       0                       0                       0                       0                       0                       0        504.739566992593        79.8256380754593                       0       -3.96547484463771   1.83100000867853E-005    0.000168835465210161                       0     -0.0269932442530418                       0                       0                       0        10962.4999416969        546.625300023194                       1                       1                       1 
                  0.095                 -0.0005     0.00284924623115578         1.1454889377924         2989.4130023584       0.231359836778879       -3709.07088979232       -1.53446881177001        296.820347373063        300.000035261517                       0                       0                       0                       0                       0                       0                       0        504.691210455811        79.8139995464685                       0       -4.11769664648202   1.83100000867853E-005    0.000168849216003512                       0      -0.010627747675653                       0                       0                       0        10962.4999416969        547.115702282734                       1                       1                       1 
                  0.095                 -0.0005     0.00295477386934673        1.14549279640055        2991.04960080999       0.231345214186634       -3708.61241743553       -1.52981162605685        296.820742392679        300.000035330552                       0                       0                       0                       0                       0                       0                       0        504.690663145362        79.8005443730011                       0       -4.27033473039202   1.83100000867853E-005    0.000168870131254885                       0    -0.00719320781421033                       0                       0                       0        10962.4999416969        547.606104402784                       1                       1                       1 
                  0.095                 -0.0005     0.00306030150753769        1.14549652502793        2992.70988629891       0.231331095187126       -3708.16918442401       -1.52320775424286        296.821124599398        300.000038410736                       0                       0                       0                       0                       0                       0                       0        504.693391251062        79.7872306576505                       0       -4.42380388588005   1.83100000867853E-005    0.000168891554923825                       0    -0.00399474724497349                       0                       0                       0        10962.4999320549        548.090555819122                       1                       1                       1 
                  0.095                 -0.0005     0.00316582914572864         1.1455002820635        2994.36527474412       0.231316866182679       -3707.72262005128       -1.51702499165392        296.821509606902         300.00004083813                       0                       0                       0                       0                       0                       0                       0        504.695435020017         79.773885386724                       0         -4.577093366761   1.83100000867853E-005    0.000168912872236196                       0   -0.000751850118617332                       0                       0                       0        10962.4999320549        548.576295291864                       1                       1                       1 
                  0.095                 -0.0005      0.0032713567839196        1.14550421296263        2996.01096747076       0.231301938759914       -3707.25494337737       -1.51320006937809        296.821913816768        300.000041306643                       0                       0                       0                       0                       0                       0                       0        504.690654425271        79.7601698443365                       0       -4.72971074869146   1.83100000867853E-005    0.000168933831525487                       0     0.00179383565471096                       0                       0                       0        10962.4999320549        549.066936798467                       1                       1                       1 
                  0.095                 -0.0005     0.00337688442211055        1.14550856247868        2997.71422918262       0.231285229295939       -3706.73354565349       -1.51417649944068        296.822372485922        300.000045185226                       0                       0                       0                       0                       0                       0                       0        504.658922504591        79.7448558380354                       0       -4.88241613266292   1.83100000867853E-005    0.000168955097689939                       0    -0.00120690335177968                       0                       0                       0        10962.4999320549        549.557484089412                       1                       1                       1 
                  0.095                 -0.0005     0.00348241206030151        1.14551276456754        2999.45290107471       0.231269151338384       -3706.23107462522       -1.51769749763515         296.82281402005        300.000045776366                       0                       0                       0                       0                       0                       0                       0        504.631093642215         79.729722014992                       0       -5.03604034018655   1.83100000867853E-005    0.000168976988381467                       0    -0.00519902319058843                       0                       0                       0        10962.4999224129        550.041594550329                       1                       1                       1 
                  0.095                 -0.0005     0.00358793969849246        1.14551704421382        3001.17294463518       0.231252741162496       -3705.71864677771       -1.51987986816898        296.823264568449        300.000048096941                       0                       0                       0                       0                       0                       0                       0         504.60121148713        79.7144934024431                       0       -5.18918117965594   1.83100000867853E-005    0.000168998550526302                       0    -0.00866960515129477                       0                       0                       0        10962.4999224129        550.529091252266                       1                       1                       1 
                  0.095                 -0.0005     0.00369346733668342        1.14552155445372        3002.96231525123       0.231235456461611       -3705.17889416422       -1.52075702404891        296.823736779321        300.000049963541                       0                       0                       0                       0                       0                       0                       0         504.57432474047        79.6986660694087                       0       -5.34194218396141   1.83100000867853E-005    0.000169021058193149                       0     -0.0140728657514723                       0                       0                       0        10962.4999224129        551.019919301891                       1                       1                       1 
                  0.095                 -0.0005     0.00379899497487437        1.14552648064671        3004.98651250189       0.231216693922102        -3704.5918579697       -1.52163413457163         296.82424354264        300.000046085723                       0                       0                       0                       0                       0                       0                       0        504.560851248905         79.681479814401                       0       -5.49494867369009   1.83100000867853E-005    0.000169046963481789                       0     -0.0260283726331978                       0                       0                       0        10962.4999224129        551.510826997554                       1                       1                       1 
                  0.095                 -0.0005     0.00390452261306533        1.14553122223267        3007.05236684403       0.231198694696804       -3704.02736749968       -1.51884547333119        296.824728419292        300.000042187477                       0                       0                       0                       0                       0                       0                       0        504.552124656078        79.6645108577967                       0       -5.64896124348486   1.83100000867853E-005    0.000169073614849227                       0     -0.0382908578856989                       0                       0                       0        10962.4999127709        551.994838309329                       1                       1                       1 
                  0.095                 -0.0005     0.00401005025125628        1.14553610862827        3009.08554448754       0.231180096711787       -3703.44519168925       -1.51893232042945        296.825230464306        300.000038305255                       0                       0                       0                       0                       0                       0                       0        504.539674496053        79.6473714477552                       0       -5.80218462291867   1.83100000867853E-005    0.000169099680976765                       0     -0.0503125424213033                       0                       0                       0        10962.4999127709         552.48425928965                       1                       1                       1 
                  0.095                 -0.0005     0.00411557788944724        1.14554125691142        3011.17171440894       0.231160432316211       -3702.83094530888       -1.51891604246026        296.825761998945        300.000036030266                       0                       0                       0                       0                       0                       0                       0        504.520631876847        79.6294029598312                       0       -5.95524599970617   1.83100000867853E-005    0.000169126315502149                       0     -0.0600228658081753                       0                       0                       0        10962.4999127709        552.975370651518                       1                       1                       1 
                  0.095                 -0.0005     0.00422110552763819        1.14554671981081        3013.35057349341       0.231139491056388       -3702.17814878422       -1.51740243857667        296.826328556873        300.000036094832                       0                       0                       0                       0                       0                       0                       0          504.4937061354        79.6103035918064                       0       -6.10844041597459   1.83100000867853E-005    0.000169154054159298                       0     -0.0664706610953636                       0                       0                       0        10962.4999127709        553.466416902153                       1                       1                       1 
                  0.095                 -0.0005     0.00432663316582915        1.14555196249129        3015.57768320006       0.231119445832668       -3701.55195080624       -1.51538649109763        296.826875554563        300.000040022654                       0                       0                       0                       0                       0                       0                       0        504.472500647248        79.5914585574344                       0       -6.26273122948202   1.83100000867853E-005    0.000169182702094572                       0     -0.0735604459461126                       0                       0                       0         10962.499903129        553.949918231791                       1                       1                       1 
                  0.095                 -0.0005      0.0044321608040201        1.14555742623413        3017.75635748075       0.231098501140954         -3700.899052407        -1.5138748112306        296.827442187409        300.000040072423                       0                       0                       0                       0                       0                       0                       0        504.445552996769        79.5723582152912                       0       -6.41592144646044   1.83100000867853E-005    0.000169210437269113                       0     -0.0800057823676666                       0                       0                       0         10962.499903129        554.440993380083                       1                       1                       1 
                  0.095                 -0.0005     0.00453768844221106         1.1455632089697         3020.0812082066       0.231076397603974       -3700.20904986838       -1.51374051550474        296.828042461799        300.000041072214                       0                       0                       0                       0                       0                       0                       0        504.422021972611        79.5522210007586                       0       -6.56925532167097   1.83100000867853E-005    0.000169240089278114                       0     -0.0725606483986398                       0                       0                       0         10962.499903129        554.932351294943                       1                       1                       1 
                  0.095                 -0.0005     0.00464321608040201        1.14556924109437        3022.53526936426       0.231053391327321       -3699.48992115185       -1.51494903368285        296.828669341591        300.000042859798                       0                       0                       0                       0                       0                       0                       0        504.401929076589        79.5312248563493                       0       -6.72280744579645   1.83100000867853E-005    0.000169271457586315                       0     -0.0533077454626945                       0                       0                       0         10962.499903129        555.423301209816                       1                       1                       1 
                  0.095                 -0.0005     0.00474874371859297        1.14557506480166        3025.03419542418       0.231031152589847         -3698.793239073       -1.51845820447936        296.829276905709        300.000043161256                       0                       0                       0                       0                       0                       0                       0        504.386683823546        79.5104453327197                       0       -6.87721831237907   1.83100000867853E-005    0.000169303602365376                       0      -0.034048634713457                       0                       0                       0         10962.499893487        555.908488955724                       1                       1                       1 
                  0.095                 -0.0005     0.00485427135678392        1.14558112253416        3027.48274412069       0.231008052007186        -3698.0713523829       -1.51938404619851         296.82990615878        300.000045131438                       0                       0                       0                       0                       0                       0                       0        504.365995307307         79.489422572547                       0       -7.03066492453268   1.83100000867853E-005    0.000169334875270153                       0     -0.0147964945737735                       0                       0                       0         10962.499893487        556.400146856797                       1                       1                       1 
                  0.095                 -0.0005     0.00495979899497487        1.14558757369871        3030.07250020018       0.230983470230577       -3697.30350620722       -1.51963135820112        296.830571193431        300.000043125861                       0                       0                       0                       0                       0                       0                       0        504.341615970339        79.4670868263589                       0       -7.18431312335283   1.83100000867853E-005    0.000169367822776681                       0    -0.00617686390041271                       0                       0                       0         10962.499893487        556.891804569442                       1                       1                       1 
                  0.095                 -0.0005     0.00506532663316583        1.14559418127372        3032.73929648267       0.230958308167325       -3696.51742162074       -1.51980676912592        296.831250136821        300.000039182937                       0                       0                       0                       0                       0                       0                       0        504.316340715353        79.4441518470254                       0       -7.33820604868828   1.83100000867853E-005    0.000169401728203098                       0     -0.0028049515179506                       0                       0                       0         10962.499893487        557.382462694297                       1                       1                       1 
                  0.095                 -0.0005     0.00517085427135678        1.14560065345752        3035.43823874293       0.230933688919445       -3695.74728032423       -1.52097990765531        296.831915544736        300.000035230114                       0                       0                       0                       0                       0                       0                       0        504.294542621351        79.4213703129126                       0       -7.49266533492226   1.83100000867853E-005    0.000169436185920163                       0     0.00028322855324053                       0                       0                       0         10962.499883845        557.869260124295                       1                       1                       1 
                  0.095                 -0.0005     0.00527638190954774         1.1456073051087        3038.09457000488       0.230908350144381       -3694.95600545063       -1.52083051106242        296.832598894557        300.000031290413                       0                       0                       0                       0                       0                       0                       0        504.268135387714        79.3983853799771                       0       -7.64637388327642   1.83100000867853E-005    0.000169469911550123                       0     0.00374751021826273                       0                       0                       0         10962.499883845        558.361175086029                       1                       1                       1 
                  0.095                 -0.0005     0.00538190954773869        1.14561439499795        3040.95416315361       0.230881201039454       -3694.10803907292       -1.52027581111663        296.833335986066        300.000032101014                       0                       0                       0                       0                       0                       0                       0         504.24358740064        79.3738063169522                       0       -7.80036200557869   1.83100000867853E-005    0.000169506213802939                       0    0.000310364449501356                       0                       0                       0         10962.499883845        558.853002301004                       1                       1                       1 
                  0.095                 -0.0005     0.00548743718592965        1.14562154088196        3043.87753139255        0.23085384013923       -3693.25297489263       -1.51854773499053        296.834080199117        300.000034454592                       0                       0                       0                       0                       0                       0                       0         504.22097476015        79.3489025765396                       0       -7.95464416810013   1.83100000867853E-005    0.000169543382426745                       0    -0.00476469331665888                       0                       0                       0         10962.499883845        559.343312136844                       1                       1                       1 
                  0.095                 -0.0005      0.0055929648241206        1.14562862601839        3046.81779576267       0.230826753449691       -3692.40594300277       -1.51553862065045        296.834817266446        300.000037265665                       0                       0                       0                       0                       0                       0                       0         504.20012859081        79.3240755580063                       0       -8.10919555834812   1.83100000867853E-005    0.000169580834304741                       0    -0.00978455457718634                       0                       0                       0         10962.499874203        559.831838398648                       1                       1                       1 
                  0.095                 -0.0005     0.00569849246231156        1.14563583151494        3049.72458356646       0.230799123462279        -3691.5429966115       -1.51506764861747        296.835568491705        300.000039170294                       0                       0                       0                       0                       0                       0                       0        504.175782484821        79.2990965292261                       0       -8.26321352353235   1.83100000867853E-005    0.000169617724966819                       0     -0.0149137768377579                       0                       0                       0         10962.499874203         560.32389848331                       1                       1                       1 
                  0.095                 -0.0005     0.00580402010050251        1.14564364868668        3052.85190376408       0.230769301979957       -3690.61243862638        -1.5117719854253        296.836374997857        300.000039235889                       0                       0                       0                       0                       0                       0                       0        504.149299005517        79.2722205750972                       0       -8.41755556843451   1.83100000867853E-005    0.000169657322119596                       0     -0.0208953427171111                       0                       0                       0         10962.499874203        560.816060588497                       1                       1                       1 
                  0.095                 -0.0005     0.00590954773869347        1.14565142853664        3056.01459132383        0.23073965641988       -3689.68667688406       -1.50892205126933        296.837176521925        300.000038154135                       0                       0                       0                       0                       0                       0                       0        504.124816598848        79.2453028414312                       0        -8.5722266880455   1.83100000867853E-005    0.000169697453610211                       0      -0.026580487611443                       0                       0                       0         10962.499874203        561.306262328279                       1                       1                       1 
                  0.095                 -0.0005     0.00601507537688442        1.14565921746296         3059.1750623895       0.230709973596225       -3688.75983646291       -1.50599946744431        296.837979047179        300.000037186697                       0                       0                       0                       0                       0                       0                       0        504.100092171163        79.2183746692752                       0       -8.72686339783889   1.83100000867853E-005    0.000169737546623817                       0     -0.0323057577313392                       0                       0                       0         10962.499864561         561.79668527265                       1                       1                       1 
                  0.095                 -0.0005     0.00612060301507538        1.14566712568627        3062.33198969833       0.230679804918676       -3687.81858683933       -1.50295488938487        296.838795025626        300.000037251701                       0                       0                       0                       0                       0                       0                       0        504.073223436892        79.1912235062194                       0       -8.88121319357316   1.83100000867853E-005    0.000169777481545909                       0     -0.0375022019514178                       0                       0                       0         10962.499864561        562.289099207747                       1                       1                       1 
                  0.095                 -0.0005     0.00622613065326633        1.14567559542113        3065.73677129475       0.230647390006183       -3686.80712356974       -1.50794611652641         296.83967736444        300.000037316677                       0                       0                       0                       0                       0                       0                       0         504.04697939254        79.1621358815356                       0       -9.03592196103256   1.83100000867853E-005    0.000169820266153994                       0     -0.0292906001731973                       0                       0                       0         10962.499864561        562.781410335392                       1                       1                       1 
                  0.095                 -0.0005     0.00633165829145729        1.14568395534703        3069.16973181204       0.230615419934205       -3685.80853191921       -1.51327018321955        296.840548691256        300.000037380847                       0                       0                       0                       0                       0                       0                       0        504.023632524335        79.1331720419447                       0       -9.19101793934876   1.83100000867853E-005     0.00016986351470231                       0     -0.0224538592984733                       0                       0                       0         10962.499854919        563.271235869159                       1                       1                       1 
                  0.095                 -0.0005     0.00643718592964824        1.14569241318897        3072.57756534224       0.230583053200411       -3684.79846271748       -1.51829745869381        296.841429837409        300.000037445735                       0                       0                       0                       0                       0                       0                       0        503.997702260258        79.1040978238743                       0       -9.34576864389556   1.83100000867853E-005    0.000169906349557699                       0     -0.0143911627425948                       0                       0                       0         10962.499854919        563.763277793175                       1                       1                       1 
                  0.095                 -0.0005      0.0065427135678392        1.14570101716035        3076.02657763985       0.230550119254176       -3683.77100304134       -1.52048269605047        296.842324181299        300.000037510806                       0                       0                       0                       0                       0                       0                       0        503.970966622101        79.0745958306547                       0       -9.50051196854941   1.83100000867853E-005    0.000169949647921482                       0    -0.00902757629735786                       0                       0                       0         10962.499854919        564.255886178129                       1                       1                       1 
