                  0.005                 -0.0005     0.00260653266331658        1.16776210446549        27.8655979573577       0.121571778069847       -1041.59488972871     -0.0540370978636799        299.115266838588                     300                       0                       0                       0                       0                       0                       0                       0         12266.546245794        42.1573683808476                       0     -0.0318565172530513   1.83100000867853E-005    0.000175450310006106                       0      -0.149589782161054                       0                       0                       0        10962.4999618833        10637.2655085939                       1                       1                       1 
                  0.005                 -0.0005      0.0028070351758794        1.16776263492532        28.3274568560361       0.121567824627711       -1041.53190779073      -0.050243462218395        299.115318329067                     300                       0                       0                       0                       0                       0                       0                       0        12265.1621224996        42.1559992960628                       0     -0.0342922503500506   1.83100000867853E-005    0.000175450075881571                       0      -0.118626420018746                       0                       0                       0        10962.4999618833        10637.6686886532                       1                       1                       1 
                  0.005                 -0.0005     0.00300753768844221         1.1677632356872        28.7891452860595       0.121563546031304       -1041.46014310905     -0.0496773363989025        299.115379803853        300.000001032748                       0                       0                       0                       0                       0                       0                       0        12263.7800694824        42.1545177969437                       0     -0.0368166248345724   1.83100000867853E-005    0.000175449853776673                       0      -0.105507263753868                       0                       0                       0        10962.4999618833        10638.0775342408                       1                       1                       1 
                  0.005                 -0.0005     0.00320804020100502        1.16776393139802        29.2792692038139       0.121558963721823       -1041.37974831787     -0.0494120462889515        299.115447676846        300.000001238792                       0                       0                       0                       0                       0                       0                       0         12262.181303523        42.1529318782477                       0     -0.0392071017175082   1.83100000867853E-005    0.000175449618214276                       0      -0.111980216060495                       0                       0                       0        10962.4999618833        10638.4806523849                       1                       1                       1 
                  0.005                 -0.0005     0.00340854271356784        1.16776462794875        29.7713997663824        0.12155438360048       -1041.29938065886     -0.0493760370274362        299.115515546843        300.000001221209                       0                       0                       0                       0                       0                       0                       0        12260.5694895977        42.1513467912865                       0     -0.0415846398990541   1.83100000867853E-005    0.000175449380709126                       0      -0.118718785280944                       0                       0                       0        10962.4999522413         10638.883095903                       1                       1                       1 
                  0.005                 -0.0005     0.00360904522613065        1.16776532105807        30.2553083777534       0.121549794513555       -1041.21890182952     -0.0484005809518527        299.115583429111        300.000002119905                       0                       0                       0                       0                       0                       0                       0        12259.0111379268        42.1497582964113                       0     -0.0440151926334929   1.83100000867853E-005    0.000175449151164147                       0      -0.124369027459154                       0                       0                       0        10962.4999522413        10639.2883036084                       1                       1                       1 
                  0.005                 -0.0005     0.00380954773869347        1.16776611583025        30.8325030533408       0.121543935619288       -1041.12310295406     -0.0511623613098354        299.115665852785        300.000001185052                       0                       0                       0                       0                       0                       0                       0        12257.0800560519        42.1477293015581                       0     -0.0464667228410448   1.83100000867853E-005    0.000175449072358781                       0      -0.159806217536565                       0                       0                       0        10962.4999522413        10639.6951383224                       1                       1                       1 
                  0.005                 -0.0005     0.00401005025125628        1.16776691083386        31.4379622778678       0.121537884006102       -1041.02513937444      -0.053280213351877        299.115750549214        300.000001167482                       0                       0                       0                       0                       0                       0                       0        12254.9853646777        42.1456337168884                       0     -0.0488304361604708   1.83100000867853E-005    0.000175448997092439                       0      -0.201307926847816                       0                       0                       0        10962.4999425993        10640.0974902862                       1                       1                       1 
                  0.005                 -0.0005     0.00421055276381909        1.16776770583747        32.0434215019484        0.12153183239292       -1040.92717579482     -0.0553980653939187        299.115835245644        300.000001149912                       0                       0                       0                       0                       0                       0                       0        12252.8906733049        42.1435381322201                       0     -0.0511941494794812   1.83100000867853E-005    0.000175448921826097                       0      -0.242809635421608                       0                       0                       0        10962.4999425993        10640.4998422501                       1                       1                       1 
                  0.005                 -0.0005     0.00441105527638191        1.16776855320737         32.624858275834       0.121525587341517       -1040.82475271092     -0.0589280363692389        299.115923943395                     300                       0                       0                       0                       0                       0                       0                       0        12250.8477248016        42.1413756000122                       0     -0.0536497339209863   1.83100000867853E-005    0.000175448871740808                       0      -0.236092292511768                       0                       0                       0        10962.4999425993        10640.9070988369                       1                       1                       1 
                  0.005                 -0.0005     0.00461155778894472        1.16776948918228        33.1797559314929       0.121518753040378        -1040.7090310518     -0.0689559454416734         299.11603142253                     300                       0                       0                       0                       0                       0                       0                       0        12248.5420492962         42.139010472525                       0     -0.0560383035828896   1.83100000867853E-005    0.000175448814308953                       0     -0.0753960677164162                       0                       0                       0        10962.4999425993        10641.3112544909                       1                       1                       1 
                  0.005                 -0.0005     0.00481206030150754        1.16777041516062         33.738876975878       0.121511925244487       -1040.59343940937     -0.0819059262620833        299.116141429003                     300                       0                       0                       0                       0                       0                       0                       0         12246.191722011        42.1366478585743                       0     -0.0583903974871555   1.83100000867853E-005     0.00017544874654465                       0      0.0862701903928957                       0                       0                       0        10962.4999329574        10641.7135008561                       1                       1                       1 
                  0.005                 -0.0005     0.00501256281407035        1.16777134518567        34.2962883477255       0.121505094815204        -1040.4777951348     -0.0936730215184451        299.116250412384                     300                       0                       0                       0                       0                       0                       0                       0        12243.8594702388        42.1342842271175                       0     -0.0607572571642756   1.83100000867853E-005    0.000175448682963033                       0       0.247543768821247                       0                       0                       0        10962.4999329574        10642.1165201216                       1                       1                       1 
                  0.005                 -0.0005     0.00521306532663317        1.16777238754554        34.9108837647987       0.121497879766397       -1040.35131796925     -0.0905218268219754        299.116356347932                     300                       0                       0                       0                       0                       0                       0                       0        12241.5214726224        42.1317860911604                       0     -0.0631983110171268   1.83100000867853E-005    0.000175448640725049                       0       0.296788925899459                       0                       0                       0        10962.4999329573        10642.5243738976                       1                       1                       1 
                  0.005                 -0.0005     0.00541356783919598        1.16777351070865        35.5839380106766       0.121490458814601       -1040.21857090953     -0.0733001197654399        299.116457940457                     300                       0                       0                       0                       0                       0                       0                       0        12238.9683167026        42.1292159361976                       0     -0.0655201905649369   1.83100000867853E-005    0.000175448584626066                       0        0.27675395166895                       0                       0                       0        10962.4999329574        10642.9265147118                       1                       1                       1 
                  0.005                 -0.0005     0.00561407035175879        1.16777463387176        36.2569922556497         0.1214830378628       -1040.08582384981     -0.0560784127089044        299.116559532982                     300                       0                       0                       0                       0                       0                       0                       0        12236.4151607813         42.126645781233                       0     -0.0678420701131809   1.83100000867853E-005    0.000175448528527087                       0       0.256718979173569                       0                       0                       0        10962.4999233154         10643.328655526                       1                       1                       1 
                  0.005                 -0.0005     0.00581457286432161        1.16777574202046        36.9223428758191       0.121475601062733       -1039.95283560704     -0.0443166100558746        299.116665017678                     300                       0                       0                       0                       0                       0                       0                       0        12233.9330716961        42.1240703343842                       0     -0.0702187009489051   1.83100000867853E-005     0.00017544847708473                       0       0.236255603092501                       0                       0                       0        10962.4999233154        10643.7337089664                       1                       1                       1 
                  0.005                 -0.0005     0.00601507537688442          1.167776994103        37.6933920295449       0.121466691914282       -1039.80289262286     -0.0442167120431361        299.116791490775                     300                       0                       0                       0                       0                       0                       0                       0         12230.980535304        42.1209855499964                       0     -0.0725654811764084   1.83100000867853E-005     0.00017544856902218                       0      0.0920829115746923                       0                       0                       0        10962.4999233154        10644.1388710336                       1                       1                       1 
                  0.005                 -0.0005     0.00621557788944724        1.16777824899339        38.4749517289369       0.121457773114744       -1039.65290708477     -0.0463167128191962         299.11691825279                     300                       0                       0                       0                       0                       0                       0                       0        12227.9344927538        42.1178976474185                       0     -0.0748533770870275   1.83100000867853E-005    0.000175448646802169                       0     -0.0554551480196659                       0                       0                       0        10962.4999136734        10644.5408919131                       1                       1                       1 
                  0.005                 -0.0005     0.00641608040201005        1.16777950388377         39.256511428639       0.121448854315193       -1039.50292154668     -0.0484167135952563        299.117045014806                     300                       0                       0                       0                       0                       0                       0                       0        12224.8884501986        42.1148097448357                       0     -0.0771412729983932   1.83100000867853E-005    0.000175448724582165                       0       -0.20299320714205                       0                       0                       0        10962.4999136734        10644.9429127927                       1                       1                       1 
                  0.005                 -0.0005     0.00661658291457286        1.16778079982151        39.9846920820672       0.121439510493565        -1039.3465528965     -0.0478334956295661        299.117177768619                     300                       0                       0                       0                       0                       0                       0                       0        12221.8546194105        42.1115743438153                       0     -0.0795118799340019   1.83100000867853E-005    0.000175448866411776                       0      -0.267239067858182                       0                       0                       0        10962.4999136734        10645.3499920407                       1                       1                       1 
                  0.005                 -0.0005     0.00681708542713568        1.16778215467622        40.6473347596225       0.121429464000168       -1039.17982837397     -0.0478154830236296        299.117321359684                     300                       0                       0                       0                       0                       0                       0                       0        12218.4572576305        42.1080965251233                       0     -0.0817780647068236   1.83100000867853E-005    0.000175449049234781                       0      -0.182671510225658                       0                       0                       0        10962.4999136734        10645.7524917923                       1                       1                       1 
                  0.005                 -0.0005     0.00701758793969849        1.16778350802105        41.3109365484178        0.12141942009589       -1039.01316011907      -0.047797551314323        299.117464948221                     300                       0                       0                       0                       0                       0                       0                       0        12215.0432197291         42.104619693637                       0     -0.0840337634664127   1.83100000867853E-005    0.000175449228886641                       0      -0.098086023306446                       0                       0                       0        10962.4999040314        10646.1544220317                       1                       1                       1 
                  0.005                 -0.0005     0.00721809045226131        1.16778486383208        41.9729717403751       0.121409371962579       -1038.84639995748      -0.047779487469696        299.117608540886                     300                       0                       0                       0                       0                       0                       0                       0        12211.6564203472        42.1011412496617                       0     -0.0863065899200476   1.83100000867853E-005    0.000175449413718203                       0     -0.0135298230326491                       0                       0                       0        10962.4999040314        10646.5572825038                       1                       1                       1 
                  0.005                 -0.0005     0.00741859296482412        1.16778634801665        42.6633626171953       0.121398953531256       -1038.66722183428     -0.0502138166579091        299.117764389793                     300                       0                       0                       0                       0                       0                       0                       0        12208.2569947724        42.0975346360809                       0     -0.0886157774273368   1.83100000867853E-005    0.000175449568773763                       0      0.0556282104130682                       0                       0                       0        10962.4999040314        10646.9634726483                       1                       1                       1 
                  0.005                 -0.0005     0.00761909547738693        1.16778786540688        43.3740829210818         0.1213884295724       -1038.48399025615     -0.0523318176861887        299.117924804604                     300                       0                       0                       0                       0                       0                       0                       0        12204.6868040268        42.0938918544191                       0      -0.090836276132348   1.83100000867853E-005    0.000175449687755368                       0       0.119712807601259                       0                       0                       0        10962.4999040314        10647.3652976652                       1                       1                       1 
                  0.005                 -0.0005     0.00781959798994975         1.1677893827971        44.0848032255875       0.121377905613543       -1038.30075867802     -0.0544498187144683        299.118085219416                     300                       0                       0                       0                       0                       0                       0                       0        12201.1166132816        42.0902490727571                       0     -0.0930567748373279   1.83100000867853E-005    0.000175449806736971                       0       0.183797404753032                       0                       0                       0        10962.4998943894        10647.7671226821                       1                       1                       1 
                  0.005                 -0.0005     0.00802010050251256        1.16779092479021        44.7996507851213       0.121367242150518       -1038.11554683393     -0.0567509554900116        299.118246069567                     300                       0                       0                       0                       0                       0                       0                       0        12197.6008490397        42.0865577784198                       0     -0.0953279919235108   1.83100000867853E-005     0.00017544995009709                       0       0.229279446124117                       0                       0                       0        10962.4998943894        10648.1720140915                       1                       1                       1 
                  0.005                 -0.0005     0.00822060301507538        1.16779263474782        45.6027437157813       0.121355527657075       -1037.91584210944     -0.0508326619968602        299.118407659369                     300                       0                       0                       0                       0                       0                       0                       0        12193.7048820029        42.0825012471219                       0     -0.0975322691378284   1.83100000867853E-005    0.000175450197580972                       0       0.112837562327669                       0                       0                       0        10962.4998943894        10648.5755355367                       1                       1                       1 
                  0.005                 -0.0005     0.00842110552763819        1.16779434932393        46.4091942986727       0.121343828539653       -1037.71636820365     -0.0442995463891647        299.118568038854                     300                       0                       0                       0                       0                       0                       0                       0        12189.7517179561        42.0784501662878                       0     -0.0997045341513173   1.83100000867853E-005    0.000175450436467431                       0    -0.00329188609935746                       0                       0                       0        10962.4998847474        10648.9772560201                       1                       1                       1 
                  0.005                 -0.0005     0.00862160804020101        1.16779606390005        47.2156448826063       0.121332129422241       -1037.51689429785     -0.0377664307814692        299.118728418338                     300                       0                       0                       0                       0                       0                       0                       0        12185.7985539121        42.0743990854571                       0      -0.101876799164867   1.83100000867853E-005    0.000175450675353886                       0      -0.119421335920901                       0                       0                       0        10962.4998847474        10649.3789765034                       1                       1                       1 
                  0.005                 -0.0005     0.00882211055276382        1.16779780976348        47.9580534740624       0.121319816604988       -1037.30932305664     -0.0368435951245544        299.118904734461                     300                       0                       0                       0                       0                       0                       0                       0        12181.8044982069        42.0701358955767                       0      -0.104106088049552   1.83100000867853E-005    0.000175450989329718                       0      -0.162509592240083                       0                       0                       0        10962.4998847474        10649.7851335374                       1                       1                       1 
                  0.005                 -0.0005     0.00902261306532663        1.16779959006417        48.6441207571313       0.121306897204848       -1037.09397844195     -0.0454231690162242        299.119098767138                     300                       0                       0                       0                       0                       0                       0                       0        12177.4522120478        42.0656639227922                       0      -0.106231459904816   1.83100000867853E-005     0.00017545133176795                       0      -0.125302715179823                       0                       0                       0        10962.4998847474        10650.1867350901                       1                       1                       1 
                  0.005                 -0.0005     0.00922311557788945        1.16780137036486        49.3301880392817       0.121293977804717       -1036.87863382724     -0.0540027429078939        299.119292799815                     300                       0                       0                       0                       0                       0                       0                       0        12173.0999258912         42.061191950011                       0      -0.108356831760703   1.83100000867853E-005    0.000175451674206172                       0     -0.0880958370351507                       0                       0                       0        10962.4998751055        10650.5883366428                       1                       1                       1 
                  0.005                 -0.0005     0.00942361809045226         1.1678031535616        50.0148396259025       0.121281049982812       -1036.66314214832     -0.0614623103106687        299.119486108066                     300                       0                       0                       0                       0                       0                       0                       0        12168.7848437997        42.0567169498454                       0      -0.110501291833337   1.83100000867853E-005    0.000175452024121773                       0     -0.0504502245705518                       0                       0                       0        10962.4998751055        10650.9910299941                       1                       1                       1 
                  0.005                 -0.0005     0.00962412060301508        1.16780505281259          50.74578551942       0.121267702940402       -1036.43425760447     -0.0592003648751941        299.119679539833                     300                       0                       0                       0                       0                       0                       0                       0        12164.4150327899        42.0520967080242                       0      -0.112629910463694   1.83100000867853E-005    0.000175452357206339                       0     -0.0466702541879988                       0                       0                       0        10962.4998751055        10651.3955697561                       1                       1                       1 
                  0.005                 -0.0005     0.00982462311557789        1.16780696429628        51.4896625394547       0.121254306803892       -1036.20341327861     -0.0548837568077078        299.119873607041                     300                       0                       0                       0                       0                       0                       0                       0         12159.918925375        42.0474599233967                       0      -0.114697429132462   1.83100000867853E-005    0.000175452671143607                       0     -0.0490002995482783                       0                       0                       0        10962.4998654635         10651.797081061                       1                       1                       1 
                  0.005                 -0.0005      0.0100251256281407        1.16780887577997        52.2335395591927       0.121240910667384       -1035.97256895275     -0.0505671487402214        299.120067674249                     300                       0                       0                       0                       0                       0                       0                       0        12155.4228179597        42.0428231387693                       0      -0.116764947801219   1.83100000867853E-005    0.000175452985080867                       0      -0.051330345545752                       0                       0                       0        10962.4998654635         10652.198592366                       1                       1                       1 
                  0.005                 -0.0005      0.0102256281407035        1.16781082274922        52.9624466139121       0.121227189233819       -1035.73792025841     -0.0476705532658692        299.120264972856                     300                       0                       0                       0                       0                       0                       0                       0        12150.9474684961        42.0380731374185                       0      -0.118878443896386   1.83100000867853E-005     0.00017545334995798                       0     -0.0511396633690819                       0                       0                       0        10962.4998654635        10652.6033259429                       1                       1                       1 
                  0.005                 -0.0005      0.0104261306532663         1.1678128507932         53.656223691197       0.121212429797033       -1035.49190209508     -0.0474901594925557        299.120471802994                     300                       0                       0                       0                       0                       0                       0                       0        12146.0325727114         42.032962942419                       0      -0.120912098883338   1.83100000867853E-005    0.000175453819295052                       0     -0.0404236611008298                       0                       0                       0        10962.4998654635        10653.0052069164                       1                       1                       1 
                  0.005                 -0.0005      0.0106266331658291        1.16781487695914        54.3505613947426       0.121197674794212       -1035.24596369517     -0.0474723009888342        299.120678472432                     300                       0                       0                       0                       0                       0                       0                       0         12141.100064238        42.0278542809839                       0      -0.122937863042944   1.83100000867853E-005    0.000175454285084526                       0     -0.0297116804923871                       0                       0                       0        10962.4998558215        10653.4066139514                       1                       1                       1 
                  0.005                 -0.0005       0.010827135678392        1.16781690312507        55.0448990982411       0.121182919791377       -1035.00002529527     -0.0474544435983342        299.120885141871                     300                       0                       0                       0                       0                       0                       0                       0        12136.1675557598        42.0227456195435                       0       -0.12496362720258   1.83100000867853E-005    0.000175454750874003                       0     -0.0189996997291643                       0                       0                       0        10962.4998558215        10653.8080209864                       1                       1                       1 
                  0.005                 -0.0005      0.0110276381909548         1.1678190308588        55.7233804493202       0.121167922782173        -1034.7448163064     -0.0468749988867785        299.121102870236                     300                       0                       0                       0                       0                       0                       0                       0         12131.297426617        42.0175539983807                       0      -0.127002331904696   1.83100000867853E-005    0.000175455204964366                       0     0.00977331005012588                       0                       0                       0        10962.4998558215        10654.2127035735                       1                       1                       1 
                  0.005                 -0.0005      0.0112281407035176        1.16782122120913        56.3966803169778       0.121152812395438       -1034.48415525066     -0.0468749988867785        299.121326331222                     300                       0                       0                       0                       0                       0                       0                       0        12126.2593896725        42.0123242224287                       0      -0.128957285923104   1.83100000867853E-005    0.000175455611860623                       0       0.050487756130588                       0                       0                       0        10962.4998558215        10654.6140064523                       1                       1                       1 
                  0.005                 -0.0005      0.0114286432160804        1.16782341155945        57.0699801856004       0.121137702008701       -1034.22349419492               -0.046875        299.121549792209                     300                       0                       0                       0                       0                       0                       0                       0        12121.2213527271        42.0070944464762                       0      -0.130912239940609   1.83100000867853E-005    0.000175456018756882                       0      0.0912021985556651                       0                       0                       0        10962.4998461795        10655.0153093311                       1                       1                       1 
                  0.005                 -0.0005      0.0116291457286432        1.16782560031816        57.7421944753901       0.121122579387079       -1033.96261890094               -0.046875        299.121773678048                     300                       0                       0                       0                       0                       0                       0                       0        12116.2305012239        42.0018601964132                       0      -0.132887511885643   1.83100000867853E-005    0.000175456433646099                       0       0.132148056301698                       0                       0                       0        10962.4998461795        10655.4178666019                       1                       1                       1 
                  0.005                 -0.0005       0.011829648241206        1.16782791163007        58.4633804971237       0.121106300896406        -1033.6879889739     -0.0409536463386938        299.122002214529                     300                       0                       0                       0                       0                       0                       0                       0        12110.8972537206        41.9962255925499                       0      -0.134817437995206   1.83100000867853E-005    0.000175457012580306                       0      0.0932868264726232                       0                       0                       0        10962.4998461795        10655.8207572005                       1                       1                       1 
                  0.005                 -0.0005      0.0120301507537688        1.16783023370756        59.1881690816304       0.121089997131742       -1033.41316149056     -0.0333661992649692        299.122229829527                     300                       0                       0                       0                       0                       0                       0                       0        12105.4833454544        41.9905823603323                       0      -0.136718569364594   1.83100000867853E-005      0.0001754575871799                       0      0.0515645340854773                       0                       0                       0        10962.4998365375        10656.2219418293                       1                       1                       1 
                  0.005                 -0.0005      0.0122306532663317        1.16783255578505        59.9129576651248       0.121073693367094       -1033.13833400723     -0.0257787523767814        299.122457444523                     300                       0                       0                       0                       0                       0                       0                       0        12100.0694371927        41.9849391281199                       0       -0.13861970073393   1.83100000867853E-005    0.000175458161779494                       0     0.00984224313583435                       0                       0                       0        10962.4998365375        10656.6231264582                       1                       1                       1 
                  0.005                 -0.0005      0.0124311557788945        1.16783489235491        60.6278397266494       0.121057142037592       -1032.85837423824     -0.0247181057242212        299.122693568321        299.999999574698                       0                       0                       0                       0                       0                       0                       0        12094.6891155218         41.979209917101                       0      -0.140536345606664   1.83100000867853E-005    0.000175458738274454                       0     -0.0402831066381315                       0                       0                       0        10962.4998365375        10657.0268537757                       1                       1                       1 
                  0.005                 -0.0005      0.0126316582914573        1.16783724715477        61.3307206951079       0.121040188311913       -1032.56973480216     -0.0365152025808531        299.122946422936        299.999999592093                       0                       0                       0                       0                       0                       0                       0        12089.0676788199        41.9733415158392                       0      -0.142365066136041   1.83100000867853E-005    0.000175459272274217                       0       -0.10648749238042                       0                       0                       0        10962.4998365375        10657.4279482866                       1                       1                       1 
                  0.005                 -0.0005      0.0128321608040201        1.16783960195463        62.0336016615494       0.121023234586219       -1032.28109536608      -0.048312299623022        299.123199277552        299.999999609489                       0                       0                       0                       0                       0                       0                       0        12083.4462421134        41.9674731145725                       0      -0.144193786665597   1.83100000867853E-005    0.000175459806273986                       0      -0.172691873909535                       0                       0                       0        10962.4998268955        10657.8290427975                       1                       1                       1 
                  0.005                 -0.0005      0.0130326633165829        1.16784195675449         62.736482630008       0.121006280860539       -1031.99245592999      -0.060109396479654        299.123452132167        299.999999626885                       0                       0                       0                       0                       0                       0                       0        12077.8248054114        41.9616047133107                       0      -0.146022507194974   1.83100000867853E-005    0.000175460340273749                       0      -0.238896259651824                       0                       0                       0        10962.4998268955        10658.2301373084                       1                       1                       1 
                  0.005                 -0.0005      0.0132331658291457        1.16784442351158        63.3764426342393       0.120988425643183        -1031.6941047298     -0.0630459344257192        299.123710963967        299.999999644574                       0                       0                       0                       0                       0                       0                       0        12072.0272660773        41.9554244065998                       0      -0.147833370911776   1.83100000867853E-005    0.000175461003312366                       0      -0.206669097977805                       0                       0                       0        10962.4998268955        10658.6333503076                       1                       1                       1 
                  0.005                 -0.0005      0.0134336683417085        1.16784692586306        63.9927496206888       0.120970236533838       -1031.39239433753     -0.0630192368893857        299.123972231955        299.999999661955                       0                       0                       0                       0                       0                       0                       0        12066.0281954293        41.9491289106184                       0      -0.149590516862025   1.83100000867853E-005    0.000175461697043627                       0      -0.134222090057995                       0                       0                       0        10962.4998268955        10659.0343417506                       1                       1                       1 
                  0.005                 -0.0005      0.0136341708542714        1.16784942821454         64.609056606376       0.120952047424514       -1031.09068394527     -0.0629925393530522        299.124233499943        299.999999679336                       0                       0                       0                       0                       0                       0                       0        12060.0291247875        41.9428334146442                       0       -0.15134766281243   1.83100000867853E-005    0.000175462390774879                       0     -0.0617750811989953                       0                       0                       0        10962.4998172536        10659.4353331937                       1                       1                       1 
