VARIABLES = "X"
 "Y"
 "Z"
 "Density"
 "Shear Strain Rate"
 "Mach Number"
 "Pressure"
 "Total Pressure"
 "Temperature"
 "Total Temperature"
 "Bulk Energy Flow Rate"
 "X Bulk Momentum Flow Rate"
 "Y Bulk Momentum Flow Rate"
 "Z Bulk Momentum Flow Rate"
 "X Wall Shear"
 "Y Wall Shear"
 "Z Wall Shear"
 "Turbulence Eddy Dissipation"
 "U"
 "V"
 "W"
 "Dynamic Viscosity"
 "Eddy Viscosity"
 "X Vorticity"
 "Y Vorticity"
 "Z Vorticity"
 "Y Plus"
 "Solver Y Plus"
 "Node UserID"
 "Element UserID"
 "Material ID"
 "Part ID"
 "Property ID"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                  0.005                 -0.0005                       0        1.16775867939081        24.0056334650644        0.12159716709822       -1042.01452625833     -0.0375000160303908        299.114898681745                     300                       0                       0                       0                       0                       0                       0                       0        12273.2994560028         42.166159818392                       0                       0   1.83100000867853E-005    0.000175451931329637                       0                       0                       0                       0                       0        22442.0000189515         10632.500018809                       1                       1                       1 
                  0.005                 -0.0005    0.000200502512562814        1.16775870647645        24.3047615124583       0.121596756941851       -1042.00836337964     -0.0471614008706995        299.114910841636                     300                       0                       0                       0                       0                       0                       0                       0        12273.7504351633        42.1660183031862                       0    -0.00233982247537968   1.83100000867853E-005     0.00017545269171516                       0    -0.00202732385584491                       0                       0                       0        19277.2056236754        10632.7696588416                       1                       1                       1 
                  0.005                 -0.0005    0.000401005025125628        1.16775874526786        24.6025286742281       0.121596347950038       -1042.00220891613     -0.0536951679260106        299.114919925438                     300                       0                       0                       0                       0                       0                       0                       0         12274.142691937        42.1658769378939                       0    -0.00459138635347637   1.83100000867853E-005    0.000175453403893489                       0    -0.00494654640863532                       0                       0                       0        16112.4112002571        10633.0346821681                       1                       1                       1 
                  0.005                 -0.0005    0.000601507537688442        1.16775878288616        24.9004322189948       0.121595938841516       -1041.99605360927     -0.0605423731358256        299.114929317515                     300                       0                       0                       0                       0                       0                       0                       0        12274.5408336476        42.1657355575773                       0    -0.00685179517790591   1.83100000867853E-005    0.000175454120902965                       0    -0.00777638698483435                       0                       0                       0        12947.6168049811        10633.3001681636                       1                       1                       1 
                  0.005                 -0.0005    0.000802010050251256        1.16775888531148        25.1882278635205       0.121595048960548       -1041.98142015233     -0.0653281550222589        299.114945740362                     300                       0                       0                       0                       0                       0                       0                       0        12274.6715477317        42.1654275776421                       0    -0.00935783293051133   1.83100000867853E-005    0.000175454527739704                       0     -0.0118091964165286                       0                       0                       0        10962.4999908092        10633.6228840034                       1                       1                       1 
                  0.005                 -0.0005     0.00100251256281407        1.16775912152229         25.463437687192        0.12159335364076       -1041.95258072472     -0.0562642490881532        299.114964515529                     300                       0                       0                       0                       0                       0                       0                       0        12274.1656902319        42.1648400744382                       0      -0.012001327986311   1.83100000867853E-005    0.000175454300816779                       0     -0.0182450357075525                       0                       0                       0        10962.4999908092        10634.0276828669                       1                       1                       1 
                  0.005                 -0.0005     0.00120301507537688        1.16775935763667        25.7420246082235       0.121591658830907       -1041.92376104032     -0.0454860449273481        299.114981941751                     300                       0                       0                       0                       0                       0                       0                       0        12273.6314966664        42.1642528040699                       0     -0.0146043143727543   1.83100000867853E-005    0.000175454069695019                       0     -0.0239791884159494                       0                       0                       0        10962.4999811673        10634.4304594566                       1                       1                       1 
                  0.005                 -0.0005      0.0014035175879397        1.16775959387559        26.0162501357279       0.121589963362494       -1041.89491585831     -0.0369217920900527        299.115001110085                     300                       0                       0                       0                       0                       0                       0                       0        12273.1338980586        42.1636652330038                       0      -0.017259616173182   1.83100000867853E-005    0.000175453843995896                       0     -0.0306195431050756                       0                       0                       0        10962.4999811673        10634.8358477364                       1                       1                       1 
                  0.005                 -0.0005     0.00160402010050251        1.16775992826655        26.2448054516398        0.12158760104442       -1041.85480084379      -0.038380208873901        299.115035650169                     300                       0                       0                       0                       0                       0                       0                       0        12272.3211046798        42.1628472511528                       0     -0.0197875449212365   1.83100000867853E-005    0.000175453169491907                       0     -0.0698008466696791                       0                       0                       0        10962.4999811673        10635.2443575601                       1                       1                       1 
                  0.005                 -0.0005     0.00180452261306533         1.1677602958355        26.4727825367559       0.121585021040322       -1041.81097329694     -0.0469865316378814        299.115078316144                     300                       0                       0                       0                       0                       0                       0                       0        12271.2957497417        42.1619539792231                       0     -0.0221404453780632   1.83100000867853E-005    0.000175452350634472                       0      -0.120196728537408                       0                       0                       0        10962.4999811673        10635.6470277085                       1                       1                       1 
                  0.005                 -0.0005     0.00200502512562814        1.16776066340444        26.7007596222818       0.121582441036214       -1041.76714575011     -0.0555928544018617        299.115120982118                     300                       0                       0                       0                       0                       0                       0                       0        12270.2703948003        42.1610607072901                       0     -0.0244933458357378   1.83100000867853E-005    0.000175451531777044                       0      -0.170592610881482                       0                       0                       0        10962.4999715253        10636.0496978569                       1                       1                       1 
                  0.005                 -0.0005     0.00220552763819096        1.16776104868851        26.9458677417246       0.121579690045858       -1041.72093770779     -0.0599070401774172        299.115162506316                     300                       0                       0                       0                       0                       0                       0                       0        12269.2772719591        42.1601082913659                       0     -0.0269451270095808   1.83100000867853E-005    0.000175450775008317                       0       -0.21111738444463                       0                       0                       0        10962.4999715253        10636.4571260151                       1                       1                       1 
                  0.005                 -0.0005     0.00240603015075377        1.16776157243935        27.4025245609457        0.12157572996119        -1041.6578460514     -0.0583537807020009        299.115215759679                     300                       0                       0                       0                       0                       0                       0                       0        12267.9417053176        42.1587369353902                       0     -0.0294329438301517   1.83100000867853E-005    0.000175450545119543                       0       -0.18067470681922                       0                       0                       0        10962.4999715253        10636.8629445155                       1                       1                       1 
